﻿id,restaurant_id,category,menu,price,restaurant_name,emotion,weather
1,1,국밥,양평해장국,9000,일품양평해장국 인천대점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 비, 눈"
2,1,국밥,양평해장국(특),10000,일품양평해장국 인천대점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 비, 눈"
3,1,국밥,뼈다귀해장국,10000,일품양평해장국 인천대점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 비, 눈"
4,1,국밥,얼큰순대국,9000,일품양평해장국 인천대점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 비, 눈"
5,1,국밥,내장탕,13000,일품양평해장국 인천대점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 비, 눈"
6,1,국밥,육개장,7000,일품양평해장국 인천대점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 비, 눈"
7,1,고기,곱창전골(대),48000,일품양평해장국 인천대점,"배고픔, 기쁨, 피곤, 스트레스","구름, 황사"
8,1,고기,곱창전골(소),39000,일품양평해장국 인천대점,"배고픔, 기쁨, 피곤, 스트레스","구름, 황사"
9,1,고기,편육,8000,일품양평해장국 인천대점,"적당, 기쁨",맑음
10,1,고기,매운곱창볶음,16000,일품양평해장국 인천대점,"기쁨, 피곤, 스트레스","구름, 황사"
11,1,사이드,꼬물이만두,6000,일품양평해장국 인천대점,"적당, 기쁨",맑음
12,2,일식,연어니기리 6p,9900,스노우폭스 인천대점,"적당, 기쁨, 스트레스","맑음, 구름"
13,2,일식,연어니기리 9p ,15500,스노우폭스 인천대점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름"
14,2,일식,연어아부리,10900,스노우폭스 인천대점,"배고픔, 기쁨","맑음, 구름"
15,2,일식,장어 지라시스시,12900,스노우폭스 인천대점,"배고픔, 기쁨","맑음, 구름"
16,2,일식,캘리포니아롤,8900,스노우폭스 인천대점,"배고픔, 기쁨","맑음, 구름"
17,2,일식,롤콤보,12900,스노우폭스 인천대점,"배고픔, 기쁨","맑음, 구름"
18,2,일식,롤 니기리 콤보,12900,스노우폭스 인천대점,"배고픔, 기쁨","맑음, 구름"
19,2,일식,필라델피아롤,9900,스노우폭스 인천대점,"배고픔, 기쁨","맑음, 구름"
20,2,일식,필연 스페셜,13900,스노우폭스 인천대점,"배고픔, 기쁨","맑음, 구름"
21,2,샐러드,스파이시 연어 아보 보울 포케,12900,스노우폭스 인천대점,적당,"맑음, 구름"
22,2,샐러드,훈제 오리 보양 샐러드,10900,스노우폭스 인천대점,적당,"맑음, 구름"
23,2,샐러드,스파이시쉬림프 샐러드,10900,스노우폭스 인천대점,"적당, 스트레스","맑음, 구름"
24,2,샐러드,닭가슴살 샐러드,9900,스노우폭스 인천대점,적당,"맑음, 구름"
25,2,샐러드,오메가3 듬뿍 연어샐러드,11900,스노우폭스 인천대점,적당,"맑음, 구름"
26,2,샌드위치,에그 포테이토 샌드위치,4500,스노우폭스 인천대점,적당,"맑음, 구름"
27,2,샌드위치,참치 포테이토 샌드위치,4500,스노우폭스 인천대점,적당,"맑음, 구름"
28,2,일식,햄 무수비,2800,스노우폭스 인천대점,적당,"맑음, 구름"
29,2,일식,크랩 오니기리,2800,스노우폭스 인천대점,적당,"맑음, 구름"
30,2,일식,참치마요 오니기리,2800,스노우폭스 인천대점,적당,"맑음, 구름"
34,2,사이드,여우우유 딸기,6500,스노우폭스 인천대점,적당,"맑음, 구름"
35,2,사이드,여우우유 블루베리,6500,스노우폭스 인천대점,적당,"맑음, 구름"
36,3,한식,멸치국수,5500,오백국수 인천대점,"배고픔, 피곤","맑음, 구름, 비, 눈"
37,3,한식,비빔국수,6500,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
38,3,한식,생칼국수,7000,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
39,3,한식,얼큰칼국수,7500,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
40,3,한식,들깨칼국수,8500,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
41,3,한식,매생이칼국수,8000,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
42,3,만두,칼만두굿,8000,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
43,3,한식,생수제비,7000,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
44,3,한식,얼큰수제비,7500,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
45,3,한식,들깨수제비,8500,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
46,3,만두,떡만두국,7500,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
47,3,한식,야채비빔밥,7000,오백국수 인천대점,적당,맑음
48,3,만두,감자고기만두,5000,오백국수 인천대점,"적당, 기쁨",맑음
49,3,만두,김치만두,5000,오백국수 인천대점,"적당, 기쁨",맑음
50,3,만두,갈비만두,5000,오백국수 인천대점,"적당, 기쁨",맑음
51,3,한식,참치주먹밥,2500,오백국수 인천대점,적당,맑음
52,3,한식,멸치주먹밥,2500,오백국수 인천대점,적당,맑음
53,3,한식,콩국수(여름메뉴),8000,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비"
54,3,한식,열무국수(여름메뉴),7000,오백국수 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비"
55,3,죽,호박죽,6900,오백국수 인천대점,"적당, 피곤","구름, 비, 눈"
56,3,죽,팥죽,6900,오백국수 인천대점,"적당, 피곤","구름, 비, 눈"
57,3,죽,소고기야채죽,6900,오백국수 인천대점,"적당, 피곤","구름, 비, 눈"
58,3,죽,영양닭죽,6900,오백국수 인천대점,"적당, 피곤","구름, 비, 눈"
59,4,햄버거,싸이버거,4600,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
60,4,햄버거,불싸이버거,4800,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 황사"
61,4,햄버거,양념치킨싸이버거,4800,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
62,4,햄버거,간장마늘싸이버거,4800,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
63,4,햄버거,싸이플렉스버거,7700,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
64,4,햄버거,쉬림프싸이플렉스버거,7000,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
65,4,햄버거,트리플딥치즈싸이버거,5400,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
66,4,햄버거,화이트갈릭싸이버거,5200,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
67,4,햄버거,휠렛버거,4400,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
68,4,햄버거,인크레더블버거,5700,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
69,4,햄버거,언빌리버블버거,5900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
70,4,햄버거,불고기버거,3900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
71,4,햄버거,디럭스불고기버거,5200,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
72,4,햄버거,새우불고기버거,5700,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
73,4,햄버거,통새우버거,3500,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
74,4,햄버거,화이트갈릭버거,4900,맘스터치 인천대제3기숙사점,"배고픔, 기쁨, 피곤","맑음, 구름, 황사"
