이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
뼈해장국,300,315,7.1,39.94,13.54,4.48,6.09,106,2420,626,,,,
양평해장국,500,662,16.47,83.21,28.56,9.36,12.737,222,4199,1363,,,,
순대국,300,328,33.78,23.25,10.35,3.615,3.145,439,1953,485,,,,
내장탕,500,403,33.04,29.67,16.86,5.373,5.703,356,1107,1187,,,,
곱창전골,200,332,20.97,14.86,23.54,4.13,11.527,133,469,553,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
연어니기리(6pcs),245,258,27,16.5,9,,,50,800,0,,,,
연어니기리(9pcs),350,387,40.5,25.75,13.5,,,70,1200,0,,,,
연어아부리,300,343,35.3,27.68,8.55,,,60,850,490,,,,
장어지라시스시,337.5,409.92,34.1,17.95,19.39,,,290,1350,650,,,,체인점에서 제공하는 영양성분을 작성함 : 정확한 수치이다
캘리포니아롤,280,412.8,46.17,11.15,20.37,,,10,640,270,,,,
필라델피아롤,240,475,73.75,13.75,13.75,,,40,1350,0,,,,
스파이시연어아보보울포케,354.4,610.96,68.66,15.41,32.98,,,20,550,610,,,,
훈제오리보양샐러드,320.1,487.76,50.61,19.29,23.78,,,100,370,490,,,,
스파이시쉬림프샐러드,315,364.06,50.07,23.14,8.07,,,90,160,670,,,,
닭가슴살샐러드,315.1,376.16,51.72,24.69,14.73,,,110,330,490,,,,
참치포테이토샌드위치,200,497.15,65.29,12.98,20.73,,,30,790,120,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
멸치국수,500,441,61.71,22.1,11.44,2.788,3.898,268,1331,329,,,,
비빔국수,400,425,74.1,14.76,7.22,1.441,2.6,99,1626,358,,,,
칼국수,350,420,71.74,16.04,8.79,1.578,2.457,23,566,529,,,,
수제비,400,371,61.49,15.46,6.73,1.43,2.425,99,2335,545,,,,
떡만두국,300,442,68.42,15,11.05,3.971,4.591,76,1324,271,,,,
야채비빔밥,300,388,75.3,11.22,3.81,1.067,1.373,113,279,364,,,,
소고기야채죽,200,170,26.04,9.74,3.18,1.187,1.223,10,245,286,,,,
닭죽,200,247,5.52,37.21,12.18,3.454,5.014,82,470,303,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
딥치즈싸이버거,246,655,,31,,14,,,1196,,,,,
화이트갈릭싸이버거,263,759,,37,,13,,,1345,,,,,
쉬림프싸이플렉스버거,301,858,,29,,11.8,,,1392,,,,,
텍사스바베큐치킨버거,285,602,,33,,9.6,,,1419,,,,,
싸이플렉스버거,406,991,,44,,15.2,,,2024,,,,,
양념치킨싸이버거,260,659,,29,,8.2,,,1277,,,,,
간장마늘싸이버거,238,591,,27,,7.7,,,1335,,,,,
싸이버거,230,594,,28,,8.6,,,1009,,,,,
불싸이버거,230,543,,28,,6.9,,,1152,,,,,
인크레더블버거,312,749,,38,,8.6,,,1455,,,,,
할라피뇨통살버거,267,631,,27,,8.1,,,1103,,,,,
휠렛버거,288,586,,39,,6.4,,,982,,,,,
딥치즈버거,281,605,,42,,10,,,1195,,,,,
언빌리버블버거,338,772,,45,,7.9,,,1514,,,,,
화이트갈릭버거,298,699,,45,,11.1,,,1580,,,,,
새우불고기버거,247,635,,18,,7.6,,,1242,,,,,
에그불고기버거,211,497,,20,,6.4,,,951,,,,,
디럭스불고기버거,226,553,,26,,10.6,,,1111,,,,,
통새우버거,178,449,,12,,12.4,,,707,,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
탄단지샐러디,245,371.1,34.7,17.8,19.6,2.8,,,365.6,,,,,
콥샐러디,215,219.1,14.1,12.3,15.2,4.5,,,486.2,,,,,
우삼겹메밀면샐러디,305,307,39.2,18.9,14.7,0.9,,,427.2,,,,,
연어샐러디,260,297.4,24.2,15.4,15.2,1.6,,,304.2,,,,,
시저치킨샐러디,160,116.4,15.1,14,0.9,0.3,,,210.9,,,,,
칠리베이컨웜볼,300,485.4,65.5,20.3,15.8,5.7,,,438.8,,,,,
우삼겹웜볼,285,409.9,59.9,21.3,10.8,1.1,,,242.9,,,,,
치킨토마토샌드,194,421.5,39.4,16.1,22.4,6,,,548.3,,,,,
맥시칸랩,219,565.6,53.9,15.2,32.6,7.3,,,893.7,,,,,
칠리베이컨웜랩,315,744.1,84.3,21,35.9,10.2,,,1153,,,,,
우삼겹웜랩,305,622,73,23.2,27.4,5.3,,,884,,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
참치마요,217,425,55,11,18,3.2,,30,620,,,,,
치킨마요,233,425,61,14,14,2.4,,65,810,,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
베트남쌀국수,624,589,112.94,25.08,4.12,0.69,,27,2539,,,,,
분짜,500,765,91.49,35.59,26.45,9.642,11.548,116,1009,569,,,,
반쎄오,100,140,23.49,5.88,2.47,1.54,0.418,24,117,199,,,,
반미,100,210,36,9,3.5,1.3,,15,530,,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
등심돈까스,200,491,24.56,51.77,18.98,5.307,8.254,185,883,640,,,,
치즈돈까스,250,721,25.41,57.87,41.57,17.171,16.385,217,1237,622,,,,
고구마치즈돈까스,250,688,27.04,54.36,38.87,16.055,15.318,203,1165,636,,,,
치킨까스,200,569,25.05,39.54,33.22,8.5,13.364,163,564,354,,,,
카레돈까스,300,551,53.12,32.55,23.91,5.311,11.873,78,614,861,,,,
쫄면,200,211,43.29,4.55,1.54,0.248,0.433,0,501,337,,,,
우동,200,361,73.62,11.82,1.42,0.292,0.288,14,1537,177,,,,
냉모밀,250,281,51.39,7.98,4.72,0.73,1.179,13,452,151,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
참치주먹밥,100,202,32,4,6,0.78,,0,312,,,,,
닭갈비주먹밥,300,605,100,29,10,3,3,69,841,578,,,,
참치김치주먹밥,300,549,64,12,13,,,,,,,,,
떡갈비주먹밥,300,558,104,20,19,1,,30,840,501,,,,
어묵우동,200,361,73.62,11.82,1.42,0.292,0.288,14,1537,177,,,,
김치우동,300,481,82.27,12.02,10.84,2.682,6.088,15,809,357,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
순대국,300,328,33.78,23.25,10.35,3.615,3.145,439,1953,485,,,,
수육국밥,300,498,66.05,29.35,11.68,3.566,5.129,73,832,636,,,,
치즈피자,100,237,26.08,10.6,10.1,4.304,2.823,21,462,138,,,,
불고기피자,100,251,33.99,10.78,7.61,2.489,3.266,13,374,169,,,,
치즈오븐스파게티,400,550,96,24,8,5.2,,10,1400,,,,,
알밥,400,392,65.21,20.77,6.16,1.294,1.762,222,395,586,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
베트남쌀국수,624,589,112.94,25.08,4.12,0.69,,27,2539,,,,,
제육덮밥,500,779,115.13,29.85,21.41,6.397,8.788,71,544,725,,,,
김치볶음밥,300,446,75.09,8.75,12.37,1.868,4.729,,844,520,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
돈코츠라멘,400,499,83.47,14.48,10.74,4.232,4.4,21,1307,324,,,,
고기덮밥,300,440,48.77,28.64,12.74,3.244,5.098,54,304,486,,,,
육개장,200,165,10.45,14.32,7.57,2.083,3.289,20,720,429,,,,
육회비빔밥,400,531,72.96,27.52,13.07,3.934,5.322,210,361,689,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
쌈밥,100,110,20.76,3.59,1.81,0.273,0.688,,233,606,,,,
제육덮밥,500,779,115.13,29.85,21.41,6.397,8.788,71,544,725,,,,
물냉면,400,383,64.58,16.5,5.74,1.962,2.293,48,1760,244,,,,
비빔냉면,400,463,75.92,17.37,9.34,2.117,3.419,189,1583,312,,,,
떡볶이,200,280,60.42,6.97,2.91,0.544,0.768,7,249,571,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
참치주먹밥,100,202,32,4,6,0.78,,,312,,,,,
라볶이,300,417,67.71,10.32,13.83,2.85,4.917,11,670,678,,,,
김치볶음밥,300,446,75.09,8.75,12.37,1.868,4.729,,844,520,,,,
제육볶음,300,572,31.12,39.12,33.08,9.991,13/746,128,832,1055,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
차돌짬뽕,500,881,130.47,36.61,22.56,7.43,10.014,70,1462,861,,,,
잡탕밥,400,518,61.45,28.39,18.65,2.708,6.204,46,1494,843,,,,
자장면,450,785,129.41,26.81,19.98,5.621,8.517,22,600,803,,,,
삼선짜장,120,500,80,11,15,8,,10,1010,,,,,
삼선짬뽕,350,487,74.19,28.08,7.89,1.102,3.115,235,985,612,,,,
마파두부덮밥,300,360,17.16,23.16,20.66,5.489,8.504,58,1616,465,,,,
탕수육,300,591,64.73,26.99,23.93,7.409,10.555,87,447,615,,,,
깐풍기,200,450,33.46,20.99,25.35,4.848,12.084,67,858,294,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
마라탕,100,275,12.5,17,20,4.3,"5,23",40,1000,700,,,,
마라샹궈,100,175,10,12.45,13.21,2.31,4.54,53,1021,441,,,,
꿔바로우,200,384,33.18,22.49,17.39,2.854,8.735,62,878,528,,,,
이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),,,,
육회비빔밥,400,531,72.96,27.52,13.07,3.934,5.322,210,361,689,,,,
수육곰탕,100,185,1.83,23.68,9,3.498,3.808,52,449,475,,,,
삼겹살덮밥,100,276,32,14,12,561,4.2,5.31,612,123.21,,,,
