id,category,name,price,emotion,weather,image,restaurant_id
1,국밥,양평해장국,9000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (1)/양평해장국.jpg",1
2,국밥,양평해장국(특),10000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (1)/양평해장국특.jpg",1
3,국밥,뼈다귀해장국,10000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (1)/뼈다귀해장국.jpg",1
4,국밥,얼큰순대국,9000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (1)/얼큰순대국.jpg",1
5,국밥,내장탕,13000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (1)/내장탕.jpg",1
6,국밥,육개장,7000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (1)/육개장.jpg",1
7,고기,곱창전골(대),48000,"배고픔,기쁨,피곤,스트레스","구름,황사","menu/Restaurant object (1)/곱창전골대.jpg",1
8,고기,곱창전골(소),39000,"배고픔,기쁨,피곤,스트레스","구름,황사","menu/Restaurant object (1)/곱창전골소.jpg",1
9,고기,편육,8000,"적당,기쁨",맑음,"menu/Restaurant object (1)/편육.jpg",1
10,고기,매운곱창볶음,16000,"기쁨,피곤,스트레스","구름,황사","menu/Restaurant object (1)/매운곱창볶음.jpg",1
11,사이드,꼬물이만두,6000,"적당,기쁨",맑음,"menu/Restaurant object (1)/꼬물이만두.jpg",1
12,일식,"연어니기리 6p",9900,"적당,기쁨,스트레스","맑음,구름","menu/Restaurant object (2)/연어니기리_6p.jpg",2
13,일식,"연어니기리 9p",15500,"배고픔,기쁨,피곤,스트레스","맑음,구름","menu/Restaurant object (2)/연어니기리_9p_.jpg",2
14,일식,연어아부리,10900,"배고픔,기쁨","맑음,구름","menu/Restaurant object (2)/연어아부리.jpg",2
15,일식,"장어 지라시스시",12900,"배고픔,기쁨","맑음,구름","menu/Restaurant object (2)/장어_지라시스시.jpg",2
16,일식,캘리포니아롤,8900,"배고픔,기쁨","맑음,구름","menu/Restaurant object (2)/캘리포니아롤.jpg",2
17,일식,롤콤보,12900,"배고픔,기쁨","맑음,구름","menu/Restaurant object (2)/롤콤보.jpg",2
18,일식,"롤 니기리 콤보",12900,"배고픔,기쁨","맑음,구름","menu/Restaurant object (2)/롤_니기리_콤보.jpg",2
19,일식,필라델피아롤,9900,"배고픔,기쁨","맑음,구름","menu/Restaurant object (2)/필라델피아롤.jpg",2
20,일식,"필연 스페셜",13900,"배고픔,기쁨","맑음,구름","menu/Restaurant object (2)/필연_스페셜.jpg",2
21,샐러드,"스파이시 연어 아보 보울 포케",12900,적당,"맑음,구름","menu/Restaurant object (2)/스파이시_연어_아보_보울_포케.jpg",2
22,샐러드,"훈제 오리 보양 샐러드",10900,적당,"맑음,구름","menu/Restaurant object (2)/훈제_오리_보양_샐러드.jpg",2
23,샐러드,"스파이시쉬림프 샐러드",10900,"적당,스트레스","맑음,구름","menu/Restaurant object (2)/스파이시쉬림프_샐러드.jpg",2
24,샐러드,"닭가슴살 샐러드",9900,적당,"맑음,구름","menu/Restaurant object (2)/닭가슴살_샐러드.jpg",2
25,샐러드,"오메가3 듬뿍 연어샐러드",11900,적당,"맑음,구름","menu/Restaurant object (2)/오메가3_듬뿍_연어샐러드.jpg",2
26,샌드위치,"에그 포테이토 샌드위치",4500,적당,"맑음,구름","menu/Restaurant object (2)/에그_포테이토_샌드위치.jpg",2
27,샌드위치,"참치 포테이토 샌드위치",4500,적당,"맑음,구름","menu/Restaurant object (2)/참치_포테이토_샌드위치.jpg",2
28,일식,"햄 무수비",2800,적당,"맑음,구름","menu/Restaurant object (2)/햄_무수비.jpg",2
29,일식,"크랩 오니기리",2800,적당,"맑음,구름","menu/Restaurant object (2)/크랩_오니기리.jpg",2
30,일식,"참치마요 오니기리",2800,적당,"맑음,구름","menu/Restaurant object (2)/참치마요_오니기리.jpg",2
34,사이드,"여우우유 딸기",6500,적당,"맑음,구름","menu/Restaurant object (2)/여우우유_딸기.jpg",2
35,사이드,"여우우유 블루베리",6500,적당,"맑음,구름","menu/Restaurant object (2)/여우우유_블루베리.jpg",2
36,한식,멸치국수,5500,"배고픔,피곤","맑음,구름,비,눈","menu/Restaurant object (3)/멸치국수.jpg",3
37,한식,비빔국수,6500,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/비빔국수.jpg",3
38,한식,생칼국수,7000,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/생칼국수.jpg",3
39,한식,얼큰칼국수,7500,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/얼큰칼국수.jpg",3
40,한식,들깨칼국수,8500,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/들깨칼국수.jpg",3
41,한식,매생이칼국수,8000,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/매생이칼국수.jpg",3
42,만두,칼만둣국,8000,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/칼만둣국.jpg",3
43,한식,생수제비,7000,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/생수제비.jpg",3
44,한식,얼큰수제비,7500,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/얼큰수제비.jpg",3
45,한식,들깨수제비,8500,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/들깨수제비.jpg",3
46,만두,떡만두국,7500,"배고픔,피곤,스트레스","맑음,구름,비,눈","menu/Restaurant object (3)/떡만두국.jpg",3
47,한식,야채비빔밥,7000,적당,맑음,"menu/Restaurant object (3)/야채비빔밥.jpg",3
48,만두,감자고기만두,5000,"적당,기쁨",맑음,"menu/Restaurant object (3)/감자고기만두.jpg",3
49,만두,김치만두,5000,"적당,기쁨",맑음,"menu/Restaurant object (3)/김치만두.jpg",3
50,만두,갈비만두,5000,"적당,기쁨",맑음,"menu/Restaurant object (3)/갈비만두.jpg",3
51,한식,참치주먹밥,2500,적당,맑음,"menu/Restaurant object (3)/참치주먹밥.jpg",3
52,한식,멸치주먹밥,2500,적당,맑음,"menu/Restaurant object (3)/멸치주먹밥.jpg",3
53,한식,콩국수(여름메뉴),8000,"배고픔,피곤,스트레스","맑음,구름,비","menu/Restaurant object (3)/콩국수여름메뉴.jpg",3
54,한식,열무국수(여름메뉴),7000,"배고픔,피곤,스트레스","맑음,구름,비","menu/Restaurant object (3)/열무국수여름메뉴.jpg",3
55,죽,호박죽,6900,"적당,피곤","구름,비,눈","menu/Restaurant object (3)/호박죽.jpg",3
56,죽,팥죽,6900,"적당,피곤","구름,비,눈","menu/Restaurant object (3)/팥죽.jpg",3
57,죽,소고기야채죽,6900,"적당,피곤","구름,비,눈","menu/Restaurant object (3)/소고기야채죽.jpg",3
58,죽,영양닭죽,6900,"적당,피곤","구름,비,눈","menu/Restaurant object (3)/영양닭죽.jpg",3
59,햄버거,싸이버거,4600,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/싸이버거.jpg",4
