id,category,name,price,emotion,weather,image,restaurant_id
1,국밥,양평해장국,9000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈",NULL,1
2,국밥,양평해장국(특),10000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈",NULL,1
3,국밥,뼈다귀해장국,10000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈",NULL,1
4,국밥,얼큰순대국,9000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈",NULL,1
5,국밥,내장탕,13000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈",NULL,1
6,국밥,육개장,7000,"배고픔,기쁨,피곤,스트레스","맑음,구름,비,눈",NULL,1
7,고기,곱창전골(대),48000,"배고픔,기쁨,피곤,스트레스","구름,황사",NULL,1
8,고기,곱창전골(소),39000,"배고픔,기쁨,피곤,스트레스","구름,황사",NULL,1
9,고기,편육,8000,"적당,기쁨",맑음,NULL,1
10,고기,매운곱창볶음,16000,"기쁨,피곤,스트레스","구름,황사",NULL,1
11,사이드,꼬물이만두,6000,"적당,기쁨",맑음,NULL,1
12,일식,"연어니기리 6p",9900,"적당,기쁨,스트레스","맑음,구름",NULL,2
13,일식,"연어니기리 9p ",15500,"배고픔,기쁨,피곤,스트레스","맑음,구름",NULL,2
14,일식,연어아부리,10900,"배고픔,기쁨","맑음,구름",NULL,2
15,일식,"장어 지라시스시",12900,"배고픔,기쁨","맑음,구름",NULL,2
16,일식,캘리포니아롤,8900,"배고픔,기쁨","맑음,구름",NULL,2
17,일식,롤콤보,12900,"배고픔,기쁨","맑음,구름",NULL,2
18,일식,"롤 니기리 콤보",12900,"배고픔,기쁨","맑음,구름",NULL,2
19,일식,필라델피아롤,9900,"배고픔,기쁨","맑음,구름",NULL,2
20,일식,"필연 스페셜",13900,"배고픔,기쁨","맑음,구름",NULL,2
21,샐러드,"스파이시 연어 아보 보울 포케",12900,적당,"맑음,구름",NULL,2
22,샐러드,"훈제 오리 보양 샐러드",10900,적당,"맑음,구름",NULL,2
23,샐러드,"스파이시쉬림프 샐러드",10900,"적당,스트레스","맑음,구름",NULL,2
24,샐러드,"닭가슴살 샐러드",9900,적당,"맑음,구름",NULL,2
25,샐러드,"오메가3 듬뿍 연어샐러드",11900,적당,"맑음,구름",NULL,2
26,샌드위치,"에그 포테이토 샌드위치",4500,적당,"맑음,구름",NULL,2
27,샌드위치,"참치 포테이토 샌드위치",4500,적당,"맑음,구름",NULL,2
28,일식,"햄 무수비",2800,적당,"맑음,구름",NULL,2
29,일식,"크랩 오니기리",2800,적당,"맑음,구름",NULL,2
30,일식,"참치마요 오니기리",2800,적당,"맑음,구름",NULL,2
34,사이드,"여우우유 딸기",6500,적당,"맑음,구름",NULL,2
35,사이드,"여우우유 블루베리",6500,적당,"맑음,구름",NULL,2
36,한식,멸치국수,5500,"배고픔,피곤","맑음,구름,비,눈",NULL,3
37,한식,비빔국수,6500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
38,한식,생칼국수,7000,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
39,한식,얼큰칼국수,7500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
40,한식,들깨칼국수,8500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
41,한식,매생이칼국수,8000,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
42,만두,칼만두굿,8000,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
43,한식,생수제비,7000,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
44,한식,얼큰수제비,7500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
45,한식,들깨수제비,8500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
46,만두,떡만두국,7500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,3
47,한식,야채비빔밥,7000,적당,맑음,NULL,3
48,만두,감자고기만두,5000,"적당,기쁨",맑음,NULL,3
49,만두,김치만두,5000,"적당,기쁨",맑음,NULL,3
50,만두,갈비만두,5000,"적당,기쁨",맑음,NULL,3
51,한식,참치주먹밥,2500,적당,맑음,NULL,3
52,한식,멸치주먹밥,2500,적당,맑음,NULL,3
53,한식,콩국수(여름메뉴),8000,"배고픔,피곤,스트레스","맑음,구름,비",NULL,3
54,한식,열무국수(여름메뉴),7000,"배고픔,피곤,스트레스","맑음,구름,비",NULL,3
55,죽,호박죽,6900,"적당,피곤","구름,비,눈",NULL,3
56,죽,팥죽,6900,"적당,피곤","구름,비,눈",NULL,3
57,죽,소고기야채죽,6900,"적당,피곤","구름,비,눈",NULL,3
58,죽,영양닭죽,6900,"적당,피곤","구름,비,눈",NULL,3
59,햄버거,싸이버거,4600,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
60,햄버거,불싸이버거,4800,"배고픔,기쁨,피곤,스트레스","맑음,구름,황사",NULL,4
61,햄버거,양념치킨싸이버거,4800,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
62,햄버거,간장마늘싸이버거,4800,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
63,햄버거,싸이플렉스버거,7700,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
64,햄버거,쉬림프싸이플렉스버거,7000,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
65,햄버거,트리플딥치즈싸이버거,5400,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
66,햄버거,화이트갈릭싸이버거,5200,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
67,햄버거,휠렛버거,4400,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
68,햄버거,인크레더블버거,5700,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
69,햄버거,언빌리버블버거,5900,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
70,햄버거,불고기버거,3900,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
71,햄버거,디럭스불고기버거,5200,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
72,햄버거,새우불고기버거,5700,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
73,햄버거,통새우버거,3500,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
74,햄버거,화이트갈릭버거,4900,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
75,햄버거,딥치즈버거,4800,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
76,햄버거,할라피뇨통살버거,4800,"배고픔,기쁨,피곤,스트레스","맑음,구름,황사",NULL,4
77,햄버거,텍사스바베큐치킨버거,6100,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
79,햄버거,야채통통치킨버거,6200,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
80,햄버거,오리지널미트볼버거,6200,"배고픔,기쁨,피곤","맑음,구름,황사",NULL,4
