id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient
1,뼈해장국,3,300,315,7.1,39.94,13.54,4.48,6.09,106,2420,626,"돼지고기, 우거지, 대파, 마늘"
2,양평해장국,1,500,662,16.47,83.21,28.56,9.36,12.737,222,4199,1363,"마늘, 생강, 대파"
3,양평해장국(특),2,600,794.4,197.64,99.852,34.272,11.232,15.2844,266.4,5038.8,1635.6,"마늘, 생강, 대파"
4,얼큰순대국,4,300,328,33.78,23.25,10.35,3.615,3.145,439,1953,485,"순대, 사골, 마늘, 대파, 쌀, 돼지고기"
5,육개장,6,200,165,10.45,14.32,7.57,2.083,3.289,20,720,429,"소고기, 고사리, 대파, 숙주"
6,내장탕,5,500,403,33.04,29.67,16.86,5.373,5.703,356,1107,1187,"내장, 파, 된장, 마늘"
7,곱창전골,8,200,332,20.97,14.86,23.54,4.13,11.527,133,469,553,"곱창, 대파, 양파, 깻잎, 미나리"
8,편육,9,100,277,4,22,19,6,NULL,97,682,NULL,"돼지고기, 된장"
9,매운곱창볶음,10,150,265,15.59,12.42,19.82,7.946,6.315,208,305,460,"곱창, 깻잎, 양파"
10,꼬물이만두,11,150,280,39,8,10,NULL,NULL,NULL,NULL,NULL,"밀가루, 돼지고기, 부추, 당근"
11,연어니기리(6pcs),12,245,258,27,16.5,9,NULL,NULL,50,800,0,"쌀, 연어, 식초, 설탕"
12,연어니기리(9pcs),13,350,387,40.5,25.75,13.5,NULL,NULL,70,1200,0,"쌀, 연어, 식초, 설탕"
13,연어아부리,14,300,343,35.3,27.68,8.55,NULL,NULL,60,850,490,"쌀, 연어, 데리야끼소스"
14,장어지라시스시,15,337.5,409.92,34.1,17.95,19.39,NULL,NULL,290,1350,650,"쌀, 계란, 아보카도, 장어, 초새우"
15,캘리포니아롤,16,280,412.8,46.17,11.15,20.37,NULL,NULL,10,640,270,"쌀, 크래미, 오이, 마요네즈"
16,필라델피아롤,17,240,475,73.75,13.75,13.75,NULL,NULL,40,1350,0,"쌀, 크림치즈, 훈제연어, 오이"
17,롤콤보,18,420,635.05,69.75,17.26,31.87,NULL,NULL,20,940,460,"쌀, 크래미, 마요네즈, 스리라차마요"
18,롤니기리콤보,19,420,385.4,42.69,16.75,16.24,NULL,NULL,40,880,160,"쌀, 연어, 크래미, 오이"
19,필연스페셜,20,345,409.5,54.88,17.88,12.88,NULL,NULL,50,530,0,"쌀, 연어, 크림치즈, 훈제연어"
20,스파이시연어아보보울포케,21,354.4,610.96,68.66,15.41,32.98,NULL,NULL,20,550,610,"쌀, 연어, 아보카도, 날치알, 해초, 크래미"
21,훈제오리보양샐러드,22,320.1,487.76,50.61,19.29,23.78,NULL,NULL,100,370,490,"현미, 훈제오리, 오이, 로메인"
22,스파이시쉬림프샐러드,23,315,364.06,50.07,23.14,8.07,NULL,NULL,90,160,670,"현미, 새우, 오이, 로메인, 스리라차마요"
23,오메가3 듬뿍 연어샐러드,25,320.1,356.86,47.32,22.59,8.27,NULL,NULL,70,150,690,"현미, 연어, 오이, 로메인, 발사믹소스"
24,닭가슴살샐러드,24,315.1,376.16,51.72,24.69,14.73,NULL,NULL,110,330,490,"현미, 닭고기, 오이, 로메인, 참깨소스"
25,에그 포테이토 샌드위치,26,180,217.4,26.81,2.47,0.93,NULL,NULL,170,180,160,"달걀, 감자, 밀가루"
26,참치포테이토샌드위치,27,200,497.15,65.29,12.98,20.73,NULL,NULL,30,790,120,"달걀, 감자, 밀가루, 참치"
27,햄 무수비,28,190,317.88,59,7.65,3.49,NULL,NULL,780,90,140,"쌀, 김, 햄, 달걀"
28,참치마요 오니기리,30,95,212,28,4,8,NULL,NULL,10,460,0,"쌀, 참치, 마요네즈, 크런치믹스"
29,크랩 오니기리,29,95,186,38,5,2,NULL,NULL,50,60,0,"쌀, 크래미, 마요네즈, 크런치믹스"
30,여우우유 딸기,34,365,244.47,32.07,10.42,6.3,NULL,NULL,40,160,0,"우유, 아가베, 딸기"
31,여우우유 블루베리,35,325,244.47,29.73,10.35,6.81,NULL,NULL,40,160,0,"우유, 아가베, 블루베리"
32,멸치국수,36,500,441,61.71,22.1,11.44,2.788,3.898,268,1331,329,"밀가루, 달걀, 호박, 김, 멸치"
33,비빔국수,37,400,425,74.1,14.76,7.22,1.441,2.6,99,1626,358,"밀가루, 양마, 오이, 고추장"
34,생칼국수,38,350,420,71.74,16.04,8.79,1.578,2.457,23,566,529,"멸치, 달걀, 파, 감자, 김, 밀가루"
35,얼큰칼국수,39,219.5,510,107,15,3.1,0.7,NULL,35,249,NULL,"밀가루, 감자, 파, 달걀, 고추장"
36,들깨칼국수,40,250,280,47.67,11.43,5.8,1.038,1.607,17,372,443,"밀가루, 감자, 파, 달걀, 들깨"
37,수제비,43,400,371,61.49,15.46,6.73,1.43,2.425,99,2335,545,"밀가루, 양파, 당근, 호박"
38,만두국,42,400,418,29.95,24.12,21.79,7.946,9.231,168,2350,466,"만두, 달걀, 대파, 당근"
39,떡만두국,46,300,442,68.42,15,11.05,3.971,4.591,76,1324,271,"만두, 달걀, 대파, 당근, 떡"
40,매생이칼국수,41,200,310,85,7,0.5,NULL,NULL,NULL,860,100,"매생이, 달걀, 파, 감자, 김, 밀가루"
41,얼큰수제비,44,193.5,470,103,11,1.4,0,NULL,5,1170,NULL,"밀가루, 양파, 당근, 호박, 고추장"
42,들깨수제비,45,400,362,59.22,15.67,7.01,1.443,2.506,93,2182,641,"밀가루, 양파, 당근, 호박, 들깨"
43,감자고기만두,48,150,315,32,11,16,6,NULL,25,520,NULL,"감자, 돼지고기, 당면, 두부, 부추"
44,김치만두,49,200,325,38,16,12,NULL,NULL,15,880,120,"김치, 돼지고기, 당면, 두부, 부추"
45,갈비만두,50,100,160,13.32,8.02,7.9,2.5,3.4,12,230,100,"돼지고기, 당면, 두부, 부추"
46,야채비빔밥,47,300,388,75.3,11.22,3.81,1.067,1.373,113,279,364,"양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀"
