id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient,allergy
1,뼈해장국,3.0,300.0,315.0,7.1,39.94,13.54,4.48,6.09,106.0,2420.0,626.0,"돼지고기, 우거지, 대파, 마늘",고기
2,양평해장국,1.0,500.0,662.0,16.47,83.21,28.56,9.36,12.737,222.0,4199.0,1363.0,"마늘, 생강, 대파",
3,양평해장국(특),2.0,600.0,794.4,197.64,99.852,34.272,11.232,15.2844,266.4,5038.8,1635.6,"마늘, 생강, 대파",
4,얼큰순대국,4.0,300.0,328.0,33.78,23.25,10.35,3.615,3.145,439.0,1953.0,485.0,"순대, 사골, 마늘, 대파, 쌀, 돼지고기",고기
5,육개장,6.0,200.0,165.0,10.45,14.32,7.57,2.083,3.289,20.0,720.0,429.0,"소고기, 고사리, 대파, 숙주",
6,내장탕,5.0,500.0,403.0,33.04,29.67,16.86,5.373,5.703,356.0,1107.0,1187.0,"내장, 파, 된장, 마늘",콩
7,곱창전골,8.0,200.0,332.0,20.97,14.86,23.54,4.13,11.527,133.0,469.0,553.0,"곱창, 대파, 양파, 깻잎, 미나리",
8,편육,9.0,100.0,277.0,4.0,22.0,19.0,6.0,,97.0,682.0,,"돼지고기, 된장","고기,콩"
9,매운곱창볶음,10.0,150.0,265.0,15.59,12.42,19.82,7.946,6.315,208.0,305.0,460.0,"곱창, 깻잎, 양파",
10,꼬물이만두,11.0,150.0,280.0,39.0,8.0,10.0,,,,,,"밀가루, 돼지고기, 부추, 당근","밀,고기"
11,연어니기리(6pcs),12.0,245.0,258.0,27.0,16.5,9.0,,,50.0,800.0,0.0,"쌀, 연어, 식초, 설탕",생선
12,연어니기리(9pcs),13.0,350.0,387.0,40.5,25.75,13.5,,,70.0,1200.0,0.0,"쌀, 연어, 식초, 설탕",생선
13,연어아부리,14.0,300.0,343.0,35.3,27.68,8.55,,,60.0,850.0,490.0,"쌀, 연어, 데리야끼소스",생선
14,장어지라시스시,15.0,337.5,409.92,34.1,17.95,19.39,,,290.0,1350.0,650.0,"쌀, 계란, 아보카도, 장어, 초새우","생선,갑각류"
15,캘리포니아롤,16.0,280.0,412.8,46.17,11.15,20.37,,,10.0,640.0,270.0,"쌀, 크래미, 오이, 마요네즈",
16,필라델피아롤,17.0,240.0,475.0,73.75,13.75,13.75,,,40.0,1350.0,0.0,"쌀, 크림치즈, 훈제연어, 오이","우유,생선"
17,롤콤보,18.0,420.0,635.05,69.75,17.26,31.87,,,20.0,940.0,460.0,"쌀, 크래미, 마요네즈, 스리라차마요",
18,롤니기리콤보,19.0,420.0,385.4,42.69,16.75,16.24,,,40.0,880.0,160.0,"쌀, 연어, 크래미, 오이",생선
19,필연스페셜,20.0,345.0,409.5,54.88,17.88,12.88,,,50.0,530.0,0.0,"쌀, 연어, 크림치즈, 훈제연어","생선,우유,생선"
20,스파이시연어아보보울포케,21.0,354.4,610.96,68.66,15.41,32.98,,,20.0,550.0,610.0,"쌀, 연어, 아보카도, 날치알, 해초, 크래미","생선,생선"
21,훈제오리보양샐러드,22.0,320.1,487.76,50.61,19.29,23.78,,,100.0,370.0,490.0,"현미, 훈제오리, 오이, 로메인",
